Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,4,0,1,Import,214,Dominican Rep.,DOM,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",1,No Quantity,,,,,,,72735250,,,0
H4,2016,2016,2016,4,0,2,Export,214,Dominican Rep.,DOM,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",1,No Quantity,,,,,3273,,107267,,,0
H4,2016,2016,2016,4,0,1,Import,218,Ecuador,ECU,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,1004566,,1004566,,179597456,,,0
H4,2016,2016,2016,4,0,2,Export,218,Ecuador,ECU,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,23798,,23798,,923737,,,0
H4,2016,2016,2016,4,0,1,Import,222,El Salvador,SLV,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,199783,,199783,,26716775,,,0
H4,2016,2016,2016,4,0,2,Export,222,El Salvador,SLV,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,12678,,12678,,737256,,,0
H4,2016,2016,2016,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,123522,,123522,,46292812,,,6
H4,2016,2016,2016,4,0,2,Export,233,Estonia,EST,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,13896,,13896,,1072600,,,6
H4,2016,2016,2016,4,0,1,Import,242,Fiji,FJI,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,34185,,34185,,3795032,,,0
H4,2016,2016,2016,4,0,2,Export,242,Fiji,FJI,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,109413,,109413,,3272668,,,0
H4,2016,2016,2016,4,0,3,Re-Export,242,Fiji,FJI,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,92650,,92650,,2826253,,,0
H4,2016,2016,2016,4,0,1,Import,246,Finland,FIN,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,387573,,387573,,363987184,,,6
H4,2016,2016,2016,4,0,2,Export,246,Finland,FIN,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,96753,,96753,,55628920,,,6
H4,2016,2016,2016,4,0,1,Import,251,France,FRA,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,16714924,,16714924,,5128567683,,,6
H4,2016,2016,2016,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,22997899,,22997899,,5450858799,,,6
H4,2016,2016,2016,4,0,1,Import,268,Georgia,GEO,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,104176,,104176,,25142836,,,0
H4,2016,2016,2016,4,0,2,Export,268,Georgia,GEO,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,53599,,53599,,8446121,,,0
H4,2016,2016,2016,4,0,3,Re-Export,268,Georgia,GEO,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,37774,,37774,,5532071,,,0
H4,2016,2016,2016,4,0,4,Re-Import,268,Georgia,GEO,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,383,,383,,198575,,,0
H4,2016,2016,2016,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",1,No Quantity,,,,,,,15816534,,,0
H4,2016,2016,2016,4,0,2,Export,275,State of Palestine,PSE,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",1,No Quantity,,,,,7,,1740,,,4
H4,2016,2016,2016,4,0,1,Import,276,Germany,DEU,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,21778473,,21778473,,18534459594,,,6
H4,2016,2016,2016,4,0,2,Export,276,Germany,DEU,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,24606438,,24606438,,22819694536,,,6
H4,2016,2016,2016,4,0,1,Import,288,Ghana,GHA,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,717920,,717920,,20238081,,,0
H4,2016,2016,2016,4,0,2,Export,288,Ghana,GHA,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,15460,,15460,,44648,,,0
H4,2016,2016,2016,4,0,4,Re-Import,288,Ghana,GHA,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,18,,18,,169,,,0
H4,2016,2016,2016,4,0,1,Import,296,Kiribati,KIR,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,22,,22,,79,,,0
H4,2016,2016,2016,4,0,1,Import,300,Greece,GRC,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,1731057,,1731057,,450078138,,,0
H4,2016,2016,2016,4,0,2,Export,300,Greece,GRC,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,35007,,35007,,20484121,,,0
H4,2016,2016,2016,4,0,1,Import,304,Greenland,GRL,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,1998,,1998,,391878,,,0
H4,2016,2016,2016,4,0,2,Export,304,Greenland,GRL,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,1149,,1149,,3130,,,0
H4,2016,2016,2016,4,0,1,Import,320,Guatemala,GTM,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,474679,,474679,,71747897,,,6
H4,2016,2016,2016,4,0,2,Export,320,Guatemala,GTM,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,1194789,,1194789,,2429057,,,0
H4,2016,2016,2016,4,0,1,Import,340,Honduras,HND,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,313644,,313644,,35720856,,,0
H4,2016,2016,2016,4,0,2,Export,340,Honduras,HND,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,5806,,5806,,433135,,,0
H4,2016,2016,2016,4,0,1,Import,344,"China, Hong Kong SAR",HKG,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",1,No Quantity,,,,,,,218128852,,,0
H4,2016,2016,2016,4,0,2,Export,344,"China, Hong Kong SAR",HKG,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",1,No Quantity,,,,,,,73838222,,,0
H4,2016,2016,2016,4,0,3,Re-Export,344,"China, Hong Kong SAR",HKG,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",1,No Quantity,,,,,,,65073278,,,0
H4,2016,2016,2016,4,0,4,Re-Import,344,"China, Hong Kong SAR",HKG,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",1,No Quantity,,,,,,,17978,,,0
H4,2016,2016,2016,4,0,1,Import,348,Hungary,HUN,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,3369383,,3369383,,852102641,,,6
H4,2016,2016,2016,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,1825355,,1825355,,686077945,,,6
H4,2016,2016,2016,4,0,1,Import,352,Iceland,ISL,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,21375,,21375,,4611852,,,6
H4,2016,2016,2016,4,0,2,Export,352,Iceland,ISL,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,540,,540,,106965,,,0
H4,2016,2016,2016,4,0,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,1941948,,1941948,,144240838,,,0
H4,2016,2016,2016,4,0,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,802966,,802966,,105598052,,,0
H4,2016,2016,2016,4,0,1,Import,372,Ireland,IRL,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,1603964,,1603964,,2041395338,,,6
H4,2016,2016,2016,4,0,2,Export,372,Ireland,IRL,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,2206832,,2206832,,10711371919,,,6
H4,2016,2016,2016,4,0,1,Import,376,Israel,ISR,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",1,No Quantity,,,,,,,568455000,,,0
H4,2016,2016,2016,4,0,2,Export,376,Israel,ISR,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",1,No Quantity,,,,,,,225794000,,,0
H4,2016,2016,2016,4,0,1,Import,381,Italy,ITA,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,8337817,,8337817,,5035801445,,,6
H4,2016,2016,2016,4,0,2,Export,381,Italy,ITA,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,15779004,,15779004,,3640196987,,,6
H4,2016,2016,2016,4,0,3,Re-Export,381,Italy,ITA,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,9422210,,9422210,,486561049,,,0
H4,2016,2016,2016,4,0,4,Re-Import,381,Italy,ITA,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,47940,,47940,,66024455,,,0
H4,2016,2016,2016,4,0,1,Import,388,Jamaica,JAM,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,21650,,21650,,3139164,,,0
H4,2016,2016,2016,4,0,2,Export,388,Jamaica,JAM,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,368,,368,,6548,,,0
H4,2016,2016,2016,4,0,3,Re-Export,388,Jamaica,JAM,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,2,,2,,961,,,0
H4,2016,2016,2016,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,5206540,,5206540,,6109698963,,,6
H4,2016,2016,2016,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,1445600,,1445600,,616266875,,,6
H4,2016,2016,2016,4,0,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,880575,,880575,,228317266,,,6
H4,2016,2016,2016,4,0,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,15350,,15350,,4849413,,,0
H4,2016,2016,2016,4,0,1,Import,400,Jordan,JOR,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,294288,,294288,,84383285,,,0
H4,2016,2016,2016,4,0,2,Export,400,Jordan,JOR,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,341002,,341002,,14613523,,,0
H4,2016,2016,2016,4,0,3,Re-Export,400,Jordan,JOR,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,15017,,15017,,1914760,,,0
H4,2016,2016,2016,4,0,1,Import,410,Rep. of Korea,KOR,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,2293515,,2293515,,1550695568,,,0
H4,2016,2016,2016,4,0,2,Export,410,Rep. of Korea,KOR,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,2499083,,2499083,,1440699626,,,0
H4,2016,2016,2016,4,0,1,Import,414,Kuwait,KWT,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,243887,,243887,,220608048,,,6
H4,2016,2016,2016,4,0,2,Export,414,Kuwait,KWT,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,5031,,5031,,85043,,,0
H4,2016,2016,2016,4,0,1,Import,417,Kyrgyzstan,KGZ,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,75073,,75073,,6871254,,,6
H4,2016,2016,2016,4,0,2,Export,417,Kyrgyzstan,KGZ,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,12,,12,,183,,,0
H4,2016,2016,2016,4,0,1,Import,418,Lao People's Dem. Rep.,LAO,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",1,No Quantity,,,,,,,1562118,,,0
